Healthy life expectancy,GDP per capita,Score,Social support,Freedom to make life choices,Perceptions of corruption,Generosity
0.986,1.340,7.769,1.587,0.596,0.393,0.153
0.996,1.383,7.600,1.573,0.592,0.410,0.252
1.028,1.488,7.554,1.582,0.603,0.341,0.271
1.026,1.380,7.494,1.624,0.591,0.118,0.354
0.999,1.396,7.488,1.522,0.557,0.298,0.322
1.052,1.452,7.480,1.526,0.572,0.343,0.263
1.009,1.387,7.343,1.487,0.574,0.373,0.267
1.026,1.303,7.307,1.557,0.585,0.380,0.330
1.039,1.365,7.278,1.505,0.584,0.308,0.285
1.016,1.376,7.246,1.475,0.532,0.226,0.244
1.036,1.372,7.228,1.548,0.557,0.290,0.332
0.963,1.034,7.167,1.441,0.558,0.093,0.144
1.029,1.276,7.139,1.455,0.371,0.082,0.261
1.012,1.609,7.090,1.479,0.526,0.316,0.194
0.996,1.333,7.054,1.538,0.450,0.278,0.348
0.999,1.499,7.021,1.553,0.516,0.310,0.298
0.987,1.373,6.985,1.454,0.495,0.265,0.261
0.986,1.356,6.923,1.504,0.473,0.210,0.160
0.874,1.433,6.892,1.457,0.454,0.128,0.280
0.920,1.269,6.852,1.487,0.457,0.036,0.046
0.825,1.503,6.825,1.310,0.598,0.182,0.262
0.999,1.300,6.726,1.520,0.564,0.151,0.375
0.861,1.070,6.595,1.323,0.433,0.073,0.074
1.045,1.324,6.592,1.472,0.436,0.183,0.111
0.914,1.368,6.446,1.430,0.351,0.097,0.242
0.920,1.159,6.444,1.369,0.357,0.056,0.187
0.746,0.800,6.436,1.269,0.535,0.078,0.175
0.795,1.403,6.375,1.357,0.439,0.132,0.080
0.871,1.684,6.374,1.313,0.555,0.167,0.220
1.062,1.286,6.354,1.484,0.362,0.079,0.153
0.910,1.149,6.321,1.442,0.516,0.054,0.109
0.802,1.004,6.300,1.439,0.390,0.086,0.099
0.891,1.124,6.293,1.465,0.523,0.150,0.127
1.141,1.572,6.262,1.463,0.556,0.453,0.271
0.789,0.794,6.253,1.242,0.430,0.074,0.093
1.039,1.294,6.223,1.488,0.231,0.030,0.158
0.871,1.362,6.199,1.368,0.536,0.110,0.255
0.881,1.246,6.198,1.504,0.334,0.014,0.121
0.713,1.231,6.192,1.477,0.489,0.016,0.185
0.884,1.206,6.182,1.438,0.483,0.050,0.117
0.756,0.745,6.174,1.529,0.631,0.240,0.322
0.818,1.238,6.149,1.515,0.291,0.042,0.043
0.841,0.985,6.125,1.410,0.470,0.034,0.099
0.953,1.258,6.118,1.523,0.564,0.057,0.144
0.835,0.694,6.105,1.325,0.435,0.127,0.200
0.758,0.882,6.100,1.232,0.489,0.006,0.262
0.881,1.092,6.086,1.432,0.471,0.050,0.066
0.825,1.162,6.070,1.232,0.462,0.005,0.083
1.042,1.263,6.046,1.223,0.406,0.041,0.190
0.868,0.912,6.028,1.312,0.498,0.087,0.126
0.808,1.500,6.021,1.319,0.493,0.097,0.142
0.828,1.050,6.008,1.409,0.557,0.028,0.359
0.812,1.187,5.940,1.465,0.264,0.064,0.075
1.036,1.301,5.895,1.219,0.159,0.056,0.175
0.874,1.237,5.893,1.528,0.495,0.161,0.103
0.831,0.831,5.890,1.478,0.490,0.028,0.107
0.798,1.120,5.888,1.402,0.498,0.060,0.215
1.088,1.327,5.886,1.419,0.445,0.140,0.069
0.828,0.642,5.860,1.236,0.507,0.078,0.246
0.729,1.173,5.809,1.508,0.410,0.096,0.146
0.706,0.776,5.779,1.209,0.511,0.064,0.137
0.828,1.201,5.758,1.410,0.199,0.020,0.081
0.777,0.855,5.743,1.475,0.514,0.080,0.184
1.042,1.263,5.718,1.252,0.417,0.162,0.191
0.854,0.960,5.697,1.274,0.455,0.027,0.083
0.999,1.221,5.693,1.431,0.508,0.025,0.047
0.535,0.677,5.653,0.886,0.313,0.098,0.220
0.726,1.183,5.648,1.452,0.334,0.031,0.082
0.657,0.807,5.631,1.293,0.558,0.107,0.117
0.854,1.004,5.603,1.383,0.282,0.039,0.137
0.739,0.685,5.529,1.328,0.245,0.000,0.181
0.673,1.044,5.525,1.303,0.416,0.152,0.133
0.871,1.051,5.523,1.361,0.197,0.080,0.142
0.718,0.493,5.467,1.098,0.389,0.144,0.230
0.914,1.155,5.432,1.266,0.296,0.022,0.119
1.122,1.438,5.430,1.277,0.440,0.287,0.258
0.779,1.015,5.425,1.401,0.497,0.101,0.113
0.845,0.945,5.386,1.212,0.212,0.006,0.263
0.808,1.183,5.373,1.360,0.195,0.106,0.083
0.828,1.221,5.339,1.171,0.508,0.024,0.260
0.789,1.067,5.323,1.465,0.235,0.142,0.094
0.999,1.181,5.287,1.156,0.067,0.034,0.000
0.667,0.948,5.285,1.531,0.317,0.038,0.235
0.838,0.983,5.274,1.294,0.345,0.034,0.185
0.245,0.696,5.265,1.111,0.426,0.041,0.215
0.723,0.551,5.261,1.438,0.508,0.023,0.300
0.657,1.052,5.247,1.538,0.394,0.028,0.244
0.785,1.002,5.211,1.160,0.086,0.114,0.073
0.782,0.801,5.208,0.782,0.418,0.076,0.036
0.769,1.043,5.208,1.147,0.351,0.182,0.035
0.815,0.987,5.197,1.224,0.216,0.027,0.166
0.660,0.931,5.192,1.203,0.491,0.028,0.498
0.893,1.029,5.191,1.125,0.521,0.100,0.058
0.851,0.741,5.175,1.346,0.543,0.073,0.147
0.604,0.813,5.082,1.321,0.457,0.167,0.370
0.331,0.549,5.044,0.910,0.381,0.037,0.187
0.815,1.092,5.011,1.513,0.311,0.004,0.081
0.486,0.611,4.996,0.868,0.381,0.040,0.245
0.232,0.569,4.944,0.808,0.352,0.090,0.154
0.677,0.446,4.913,1.226,0.439,0.089,0.285
0.815,0.837,4.906,1.225,0.383,0.130,0.110
0.397,0.393,4.883,0.437,0.349,0.082,0.175
0.508,0.673,4.812,0.799,0.372,0.093,0.105
0.571,1.057,4.799,1.183,0.295,0.055,0.043
0.551,0.764,4.796,1.030,0.547,0.164,0.266
0.469,0.960,4.722,1.351,0.389,0.055,0.130
0.874,0.947,4.719,0.848,0.383,0.027,0.178
0.805,0.960,4.707,1.427,0.154,0.047,0.064
0.637,0.574,4.700,1.122,0.609,0.062,0.232
0.672,0.657,4.696,1.247,0.225,0.066,0.103
0.571,0.450,4.681,1.134,0.292,0.072,0.153
0.268,0.000,4.668,0.698,0.559,0.270,0.243
0.477,0.879,4.639,1.313,0.401,0.056,0.070
0.366,0.138,4.628,0.774,0.318,0.102,0.188
0.380,0.331,4.587,1.056,0.255,0.113,0.177
0.815,0.850,4.559,1.055,0.283,0.064,0.095
0.785,1.100,4.548,0.842,0.305,0.125,0.270
0.375,0.380,4.534,0.829,0.332,0.086,0.207
0.752,0.886,4.519,0.666,0.346,0.164,0.043
0.428,0.308,4.516,0.939,0.382,0.167,0.269
0.581,0.512,4.509,0.983,0.431,0.053,0.372
0.489,0.570,4.490,1.167,0.066,0.088,0.106
0.390,0.204,4.466,0.986,0.494,0.138,0.197
0.815,0.921,4.461,1.000,0.167,0.055,0.059
0.723,0.562,4.456,0.928,0.527,0.143,0.166
0.574,1.043,4.437,0.980,0.241,0.089,0.148
0.357,0.094,4.418,1.125,0.269,0.053,0.212
0.308,0.385,4.390,1.105,0.327,0.052,0.153
0.242,0.268,4.374,0.841,0.309,0.045,0.252
0.831,0.949,4.366,1.265,0.470,0.047,0.244
0.555,0.710,4.360,1.181,0.525,0.172,0.566
0.192,0.350,4.350,0.766,0.174,0.078,0.198
0.739,0.820,4.332,1.390,0.178,0.010,0.187
0.532,0.336,4.286,1.033,0.344,0.100,0.209
0.000,0.811,4.212,1.149,0.313,0.135,0.074
0.443,0.332,4.189,1.069,0.356,0.060,0.252
0.644,0.913,4.166,1.039,0.241,0.067,0.076
0.426,0.578,4.107,1.058,0.431,0.087,0.247
0.410,0.275,4.085,0.572,0.293,0.085,0.177
0.588,0.755,4.015,0.765,0.498,0.085,0.200
0.443,0.073,3.975,0.922,0.370,0.033,0.233
0.505,0.274,3.973,0.757,0.142,0.078,0.275
0.555,0.274,3.933,0.916,0.148,0.041,0.169
0.168,0.489,3.802,1.169,0.359,0.093,0.107
0.380,0.046,3.775,0.447,0.220,0.180,0.176
0.433,0.366,3.663,1.114,0.361,0.089,0.151
0.449,0.323,3.597,0.688,0.026,0.110,0.419
0.538,1.041,3.488,1.145,0.455,0.100,0.025
0.440,0.619,3.462,0.378,0.013,0.141,0.331
0.495,0.191,3.410,0.560,0.443,0.089,0.218
0.463,0.287,3.380,1.163,0.143,0.077,0.108
0.614,0.359,3.334,0.711,0.555,0.411,0.217
0.499,0.476,3.231,0.885,0.417,0.147,0.276
0.361,0.350,3.203,0.517,0.000,0.025,0.158
0.105,0.026,3.083,0.000,0.225,0.035,0.235
0.295,0.306,2.853,0.575,0.010,0.091,0.202











































































































































































































































































































































































































































































































































































































































































































































































































































































